# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.02819e-05 to 100.188 h/Mpc,
# number of wavenumbers equal to 4849
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.390992446338e-05      -2.760772968031e-07      -1.277260244362e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.601305798636e+01 
       1.395001811600e-05      -2.784475436783e-07      -1.288214454420e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.619704826905e+01 
       1.399022733366e-05      -2.808358840412e-07      -1.299262370490e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.638153905530e+01 
       1.403055244946e-05      -2.832426298482e-07      -1.310405174991e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.656655112208e+01 
       1.407099379747e-05      -2.856705887098e-07      -1.321643050093e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.675205394016e+01 
       1.411155171270e-05      -2.881228801925e-07      -1.332977798658e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.693809875301e+01 
       1.415222653116e-05      -2.905935771196e-07      -1.344410291004e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.712468875776e+01 
       1.419301858979e-05      -2.930854871011e-07      -1.355940303406e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.731177244784e+01 
       1.423392822654e-05      -2.955989220936e-07      -1.367569171858e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.749937616162e+01 
       1.427495578030e-05      -2.981335701406e-07      -1.379297788238e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.768750352683e+01 
