#  k              avgk        avgP-pSN       s_avgP       SN
# 
6.188938e-01 6.189120e-01 2.032340e+00 1.689329e-02 2.324421e+01
6.220353e-01 6.220527e-01 2.005924e+00 1.431650e-02 2.324421e+01
6.251769e-01 6.251934e-01 1.992753e+00 1.121378e-02 2.324421e+01
6.283185e-01 6.283268e-01 1.978144e+00 1.828111e-02 2.324421e+01
6.314601e-01 6.314680e-01 1.953396e+00 1.192266e-02 2.324421e+01
6.346017e-01 6.346172e-01 1.957738e+00 5.661576e-03 2.324421e+01
6.377433e-01 6.377577e-01 1.927718e+00 1.801866e-02 2.324421e+01
6.408849e-01 6.408939e-01 1.929056e+00 1.702442e-02 2.324421e+01
6.440265e-01 6.440402e-01 1.874151e+00 1.537054e-02 2.324421e+01
6.471681e-01 6.471810e-01 1.870595e+00 1.326725e-02 2.324421e+01
6.503097e-01 6.503144e-01 1.845423e+00 1.066629e-02 2.324421e+01
6.534513e-01 6.534578e-01 1.858618e+00 1.336027e-02 2.324421e+01
6.565929e-01 6.566076e-01 1.808314e+00 1.288885e-02 2.324421e+01
6.597345e-01 6.597535e-01 1.795312e+00 1.393720e-02 2.324421e+01
6.628761e-01 6.628926e-01 1.792689e+00 1.845077e-02 2.324421e+01
6.660176e-01 6.660291e-01 1.765365e+00 1.987564e-02 2.324421e+01
6.691592e-01 6.691707e-01 1.737998e+00 1.199428e-02 2.324421e+01
6.723008e-01 6.723174e-01 1.748555e+00 1.312275e-02 2.324421e+01
6.754424e-01 6.754542e-01 1.735759e+00 1.338660e-02 2.324421e+01
6.785840e-01 6.785882e-01 1.705080e+00 1.226568e-02 2.324421e+01
6.817256e-01 6.817340e-01 1.676263e+00 1.273597e-02 2.324421e+01
6.848672e-01 6.848783e-01 1.687065e+00 2.027671e-02 2.324421e+01
6.880088e-01 6.880165e-01 1.635753e+00 1.069010e-02 2.324421e+01
6.911504e-01 6.911574e-01 1.639310e+00 1.401035e-02 2.324421e+01
6.942920e-01 6.943055e-01 1.613206e+00 1.007201e-02 2.324421e+01
6.974336e-01 6.974482e-01 1.612241e+00 1.228536e-02 2.324421e+01
7.005752e-01 7.005836e-01 1.596280e+00 1.025607e-02 2.324421e+01
7.037168e-01 7.037177e-01 1.561096e+00 1.329567e-02 2.324421e+01
7.068583e-01 7.068619e-01 1.547468e+00 1.506782e-02 2.324421e+01
7.099999e-01 7.100142e-01 1.554540e+00 1.449902e-02 2.324421e+01
7.131415e-01 7.131540e-01 1.544551e+00 8.541153e-03 2.324421e+01
7.162831e-01 7.162927e-01 1.526171e+00 8.969346e-03 2.324421e+01
7.194247e-01 7.194390e-01 1.542039e+00 1.140354e-02 2.324421e+01
7.225663e-01 7.225843e-01 1.492755e+00 9.356795e-03 2.324421e+01
7.257079e-01 7.257178e-01 1.461499e+00 1.422124e-02 2.324421e+01
7.288495e-01 7.288576e-01 1.452446e+00 9.976080e-03 2.324421e+01
7.319911e-01 7.320073e-01 1.467434e+00 1.061538e-02 2.324421e+01
7.351327e-01 7.351562e-01 1.463021e+00 1.047114e-02 2.324421e+01
7.382743e-01 7.382931e-01 1.433040e+00 2.075613e-02 2.324421e+01
7.414159e-01 7.414243e-01 1.412427e+00 7.149911e-03 2.324421e+01
7.445575e-01 7.445676e-01 1.431954e+00 1.267279e-02 2.324421e+01
7.476991e-01 7.477055e-01 1.396075e+00 1.390540e-02 2.324421e+01
7.508406e-01 7.508449e-01 1.377786e+00 1.430652e-02 2.324421e+01
7.539822e-01 7.539871e-01 1.362380e+00 1.128810e-02 2.324421e+01
7.571238e-01 7.571283e-01 1.368277e+00 1.398278e-02 2.324421e+01
7.602654e-01 7.602748e-01 1.339317e+00 6.041382e-03 2.324421e+01
7.634070e-01 7.634149e-01 1.338665e+00 6.479652e-03 2.324421e+01
7.665486e-01 7.665577e-01 1.301809e+00 1.347088e-02 2.324421e+01
7.696902e-01 7.697059e-01 1.322937e+00 1.373052e-02 2.324421e+01
7.728318e-01 7.728479e-01 1.294074e+00 1.146210e-02 2.324421e+01
7.759734e-01 7.759855e-01 1.310456e+00 9.518308e-03 2.324421e+01
7.791150e-01 7.791234e-01 1.273964e+00 1.396768e-02 2.324421e+01
7.822566e-01 7.822679e-01 1.266459e+00 1.105940e-02 2.324421e+01
7.853982e-01 7.854090e-01 1.252097e+00 1.182451e-02 2.324421e+01
7.885398e-01 7.885471e-01 1.242014e+00 1.107468e-02 2.324421e+01
7.916813e-01 7.916912e-01 1.224397e+00 9.002744e-03 2.324421e+01
7.948229e-01 7.948362e-01 1.208423e+00 5.079872e-03 2.324421e+01
7.979645e-01 7.979769e-01 1.228316e+00 1.323240e-02 2.324421e+01
8.011061e-01 8.011092e-01 1.200207e+00 1.627606e-02 2.324421e+01
8.042477e-01 8.042493e-01 1.172155e+00 1.470595e-02 2.324421e+01
